Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Cape Clear Primary School,Primary,golden plains
Government,Warburton Primary School,Primary,yarra ranges
Government,Tallarook Primary School,Primary,mitchell
Government,Barnawartha Primary School,Primary,indigo
Government,Fitzroy North Primary School,Primary,yarra
Government,Ashby Primary School,Primary,greater geelong
Government,Preston Primary School,Primary,darebin
Government,Tooradin Primary School,Primary,casey
Government,Glenferrie Primary School,Primary,boroondara
Government,Elmore Primary School,Primary,greater bendigo
Government,Dookie Primary School,Primary,greater shepparton
Government,Brighton Primary School,Primary,bayside
Government,Natimuk Primary School,Primary,horsham
Government,Murtoa College,Pri/Sec,yarriambiack
Government,Big Hill Primary School,Primary,greater bendigo
Government,Clunes Primary School,Primary,hepburn
Government,Marnoo Primary School,Primary,northern grampians
Government,Beechworth Primary School,Primary,indigo
Government,Ardmona Primary School,Primary,greater shepparton
Government,Kilmore Primary School,Primary,mitchell
Government,Macarthur Primary School,Primary,moyne
Government,Barwon Heads Primary School,Primary,greater geelong
Government,Keilor Primary School,Primary,brimbank
Government,Dunolly Primary School,Primary,central goldfields
Government,Springhurst Primary School,Primary,wangaratta
Government,Dixons Creek Primary School,Primary,yarra ranges
Government,Trentham District Primary School,Primary,hepburn
Government,Warrenheip Primary School,Primary,ballarat
Government,Maiden Gully Primary School,Primary,greater bendigo
Government,Rupanyup Primary School,Primary,yarriambiack
Government,Goornong Primary School,Primary,greater bendigo
Government,Oakleigh Primary School,Primary,monash
Government,Ceres Primary School,Primary,greater geelong
Government,Malvern Central School,Pri/Sec,stonnington
Government,Daylesford Primary School,Primary,hepburn
Government,Mooroopna North Primary School,Primary,greater shepparton
Government,Swan Reach Primary School,Primary,east gippsland
Government,Amphitheatre Primary School,Primary,pyrenees
Government,Deans Marsh Primary School,Primary,surf coast
Government,Drysdale Primary School,Primary,greater geelong
Government,St Arnaud Primary School,Primary,northern grampians
Government,Nullawarre and District Primary School,Primary,moyne
Government,Macedon Primary School,Primary,macedon ranges
Government,Arthurs Creek Primary School,Primary,nillumbik
Government,Rye Primary School,Primary,mornington peninsula
Government,Buxton Primary School,Primary,murrindindi
Government,Moonambel Primary School,Primary,pyrenees
Government,Baringhup Primary School,Primary,mount alexander
Government,Longford Primary School,Primary,wellington
Government,Harkaway Primary School,Primary,casey
Government,Balnarring Primary School,Primary,mornington peninsula
Government,Carraragarmungee Primary School,Primary,wangaratta
Government,Euroa Primary School,Primary,strathbogie
Government,Pyramid Hill College,Pri/Sec,loddon
Government,Shepparton East Primary School,Primary,greater shepparton
Government,Nicholson Primary School,Primary,east gippsland
Government,Kialla West Primary School,Primary,greater shepparton
Government,Miners Rest Primary School,Primary,ballarat
Government,Glenrowan Primary School,Primary,wangaratta
Government,Warrnambool Primary School,Primary,warrnambool
Government,Devenish Primary School,Primary,benalla
Government,Undera Primary School,Primary,greater shepparton
Government,Dederang Primary School,Primary,alpine
Government,Eppalock Primary School,Primary,greater bendigo
Government,Silvan Primary School,Primary,yarra ranges
Government,Wendouree Primary School,Primary,ballarat
Government,Lancaster Primary School,Primary,campaspe
Government,Raywood Primary School,Primary,greater bendigo
Government,Drummond Primary School,Primary,hepburn
Government,Puckapunyal Primary School,Primary,mitchell
Government,Landsborough Primary School,Primary,pyrenees
Government,Lysterfield Primary School,Primary,knox
Government,Winton Primary School,Primary,benalla
Government,Merrigum Primary School,Primary,greater shepparton
Government,Bethanga Primary School,Primary,towong
Government,Abbotsford Primary School,Primary,yarra
Government,Newtown Primary School,Primary,greater geelong
Government,Stonnington Primary School,Primary,stonnington
Government,Narre Warren North Primary School,Primary,casey
Government,Buchan Primary School,Primary,east gippsland
Government,Anakie Primary School,Primary,greater geelong
Government,Moolap Primary School,Primary,greater geelong
Government,Footscray City Primary School,Primary,maribyrnong
Government,Newham Primary School,Primary,macedon ranges
Government,Plenty Parklands Primary School,Primary,whittlesea
