Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Werrimull P-12 School,Pri/Sec,mildura
Government,Camperdown College,Pri/Sec,corangamite
Government,Timboon P-12 School,Pri/Sec,corangamite
Government,Distance Education Centre Victoria,Pri/Sec,darebin
Government,Wedderburn College,Pri/Sec,loddon
Government,Victorian School Of Languages,Pri/Sec,darebin
Government,Avenues Education,Special,kingston
Government,Mount Erin Secondary College,Secondary,frankston
Government,Box Hill Senior Secondary College,Pri/Sec,whitehorse
Government,Cobden Technical School,Secondary,corangamite
Government,Lyndhurst Secondary College,Secondary,casey
Government,Daylesford Secondary College,Secondary,hepburn
Government,Dromana Secondary College,Secondary,mornington peninsula
Government,Grovedale College,Secondary,greater geelong
Government,Irymple Secondary College,Secondary,mildura
Government,Crusoe 7-10 Secondary College,Secondary,greater bendigo
Government,Peter Lalor Secondary College,Secondary,whittlesea
Government,Lilydale Heights College,Secondary,yarra ranges
Government,Staughton College,Secondary,melton
Government,Chaffey Secondary College,Secondary,mildura
Government,Bentleigh Secondary College,Secondary,glen eira
Government,Mount Clear College,Secondary,ballarat
Government,Rosehill Secondary College,Secondary,moonee valley
Government,Northern College of the Arts and Technology,Secondary,darebin
Government,McGuire College,Secondary,greater shepparton
Government,Swinburne Senior Secondary College,Secondary,boroondara
Government,Victorian College Of The Arts Secondary School,Secondary,melbourne
Government,Brauer Secondary College,Secondary,warrnambool
Government,Wyndham Central Secondary College,Secondary,wyndham
Government,Weeroona College Bendigo,Pri/Sec,greater bendigo
Government,Whittlesea Secondary College,Secondary,whittlesea
Government,Alexandra Secondary College,Secondary,murrindindi
Government,Ballarat High School,Secondary,ballarat
Government,Balwyn High School,Secondary,boroondara
Government,Bayswater Secondary College,Secondary,knox
Government,Beaufort Secondary College,Secondary,pyrenees
Government,Beechworth Secondary College,Secondary,indigo
Government,Belmont High School,Secondary,greater geelong
Government,Bendigo Senior Secondary College,Secondary,greater bendigo
Government,Berwick Secondary College,Secondary,casey
Government,Blackburn High School,Secondary,whitehorse
Government,Bogong Outdoor Education Centre,Pri/Sec,alpine
Government,Box Hill High School,Secondary,whitehorse
Government,Braybrook College,Secondary,maribyrnong
Government,Brentwood Secondary College,Secondary,monash
Government,Brighton Secondary College,Secondary,bayside
Government,Broadford Secondary College,Secondary,mitchell
Government,Buckley Park College,Secondary,moonee valley
Government,Camberwell High School,Secondary,boroondara
Government,Canterbury Girls Secondary College,Secondary,boroondara
Government,Casterton Secondary College,Secondary,glenelg
Government,Cheltenham Secondary College,Secondary,kingston
Government,Cobram Secondary College,Secondary,moira
Government,Cohuna Secondary College,Secondary,gannawarra
Government,Cranbourne Secondary College,Secondary,casey
Government,Croydon Community School,Secondary,maroondah
Government,Mount Alexander 7-12 College,Secondary,moonee valley
Government,Dimboola Memorial Secondary College,Secondary,hindmarsh
Government,East Doncaster Secondary College,Secondary,manningham
Government,Donald High School,Secondary,buloke
Government,Doncaster Secondary College,Secondary,manningham
Government,Drouin Secondary College,Secondary,baw baw
Government,Eaglehawk Secondary College,Secondary,greater bendigo
Government,Eltham High School,Secondary,nillumbik
Government,Elwood College,Secondary,port phillip
Government,Epping Secondary College,Secondary,whittlesea
Government,Euroa Secondary College,Secondary,strathbogie
Government,Fairhills High School,Secondary,knox
Government,Bendigo South East 7-10 Secondary College,Secondary,greater bendigo
Government,Gilmore College For Girls,Secondary,maribyrnong
Government,South Gippsland Secondary College,Secondary,south gippsland
Government,Frankston High School,Secondary,frankston
Government,Geelong High School,Secondary,greater geelong
Government,North Geelong Secondary College,Secondary,greater geelong
Government,Gisborne Secondary College,Secondary,macedon ranges
Government,Gladstone Park Secondary College,Secondary,hume
Government,Bundoora Secondary College,Secondary,banyule
Government,Western Port Secondary College,Secondary,mornington peninsula
Government,Healesville High School,Secondary,yarra ranges
Government,Heywood District Secondary College,Secondary,glenelg
Government,Highvale Secondary College,Secondary,monash
Government,Kerang Technical High School,Secondary,gannawarra
Government,Kensington Community High School,Secondary,moonee valley
Government,Kew High School,Secondary,boroondara
Government,Koonung Secondary College,Secondary,whitehorse
Government,Koo Wee Rup Secondary College,Secondary,cardinia
Government,Korumburra Secondary College,Secondary,south gippsland
Government,Kyabram P-12 College,Pri/Sec,campaspe
Government,Kyneton Secondary College,Secondary,macedon ranges
Government,Lalor Secondary College,Secondary,whittlesea
Government,Lalor North Secondary College,Secondary,whittlesea
Government,Lilydale High School,Secondary,yarra ranges
Government,Lyndale Secondary College,Secondary,greater dandenong
Government,Lynall Hall Community School,Secondary,yarra
Government,Maffra Secondary College,Secondary,wellington
Government,Mansfield Secondary College,Secondary,mansfield
Government,Maribyrnong Secondary College,Secondary,maribyrnong
Government,Matthew Flinders Girls Secondary College,Secondary,greater geelong
Government,Melbourne High School,Secondary,stonnington
Government,Melton Secondary College,Secondary,melton
Government,Mentone Girls Secondary College,Secondary,kingston
Government,Mildura Senior College,Secondary,mildura
Government,Mirboo North Secondary College,Secondary,south gippsland
Government,Monbulk College,Secondary,yarra ranges
Government,Montmorency Secondary College,Secondary,banyule
Government,Mooroolbark College,Secondary,yarra ranges
Government,Mooroopna Secondary College,Secondary,greater shepparton
Government,Mordialloc College,Secondary,kingston
Government,Mount Beauty Secondary College,Secondary,alpine
Government,Mount Eliza Secondary College,Secondary,mornington peninsula
Government,Mount Waverley Secondary College,Secondary,monash
Government,Mckinnon Secondary College,Secondary,glen eira
Government,MacRobertson Girls High School,Secondary,port phillip
Government,Nathalia Secondary College,Secondary,moira
Government,Neerim District Secondary College,Secondary,baw baw
Government,Newcomb Secondary College,Secondary,greater geelong
Government,Northcote High School,Secondary,darebin
Government,Norwood Secondary College,Secondary,maroondah
Government,Numurkah Secondary College,Secondary,moira
Government,Oberon High School,Secondary,greater geelong
Government,Orbost Secondary College,Secondary,east gippsland
Government,Ouyen P-12 College,Pri/Sec,mildura
Government,Pakenham Secondary College,Secondary,cardinia
Government,Parkdale Secondary College,Secondary,kingston
Government,Pascoe Vale Girls Secondary College,Secondary,moreland
Government,Princes Hill Secondary College,Secondary,yarra
Government,Bellarine Secondary College,Secondary,greater geelong
Government,Rainbow Secondary College,Secondary,hindmarsh
Government,Red Cliffs Secondary College,Secondary,mildura
Government,Ringwood Secondary College,Secondary,maroondah
Government,Rochester Secondary College,Secondary,campaspe
Government,Rosebud Secondary College,Secondary,mornington peninsula
Government,Rubicon Outdoor Centre,Secondary,murrindindi
Government,Rutherglen High School,Secondary,indigo
Government,Scoresby Secondary College,Secondary,knox
Government,Shepparton High School,Secondary,greater shepparton
Government,St Albans Secondary College,Secondary,brimbank
Government,St Arnaud Secondary College,Secondary,northern grampians
Government,Caulfield Park Community School,Secondary,glen eira
Government,Strathmore Secondary College,Secondary,moonee valley
Government,Sunbury College,Secondary,hume
Government,Sydney Road Community School,Secondary,moreland
Government,Tallangatta Secondary College,Secondary,towong
Government,Thomastown Secondary College,Secondary,whittlesea
Government,Trafalgar High School,Secondary,baw baw
Government,University High School,Secondary,melbourne
Government,Roxburgh College,Secondary,hume
Government,Upper Yarra Secondary College,Secondary,yarra ranges
Government,Upwey High School,Secondary,yarra ranges
Government,Vermont Secondary College,Secondary,whitehorse
Government,Kambrya College,Secondary,casey
Government,Wanganui Park Secondary College,Secondary,greater shepparton
Government,Carrum Downs Secondary College,Secondary,frankston
Government,Wangaratta High School,Secondary,wangaratta
Government,Wantirna College,Secondary,knox
Government,Warracknabeal Secondary College,Secondary,yarriambiack
Government,Warrandyte High School,Secondary,manningham
Government,Wellington Secondary College,Secondary,monash
Government,Werribee Secondary College,Secondary,wyndham
Government,Bairnsdale Secondary College,Secondary,east gippsland
Government,Westall Secondary College,Secondary,kingston
Government,Wheelers Hill Secondary College,Secondary,monash
Government,Williamstown High School,Secondary,hobsons bay
Government,Wodonga Senior Secondary College,Secondary,wodonga
Government,Yarram Secondary College,Secondary,wellington
Government,Yea High School,Secondary,murrindindi
Government,Glen Eira College,Secondary,glen eira
Government,Craigieburn Secondary College,Secondary,hume
Government,Emerald Secondary College,Secondary,cardinia
Government,Reservoir High School,Secondary,darebin
Government,Hampton Park Secondary College,Secondary,casey
Government,Hoppers Crossing Secondary College,Secondary,wyndham
Government,Keilor Downs Secondary College,Secondary,brimbank
Government,Kurnai College,Secondary,latrobe
Government,Kurunjang Secondary College,Secondary,melton
Government,Lakes Entrance Secondary College,Secondary,east gippsland
Government,Elisabeth Murdoch College,Secondary,frankston
Government,Sunbury Downs Secondary College,Secondary,hume
Government,Forest Hill College,Secondary,whitehorse
Government,Patterson River Secondary College,Secondary,frankston
Government,St Helena Secondary College,Secondary,banyule
Government,Stawell Secondary College,Secondary,northern grampians
Government,Rowville Secondary College,Secondary,knox
Government,Wonthaggi Secondary College,Secondary,bass coast
Government,Sandringham College,Secondary,bayside
Government,Fitzroy High School,Secondary,yarra
Government,Ashwood Secondary College,Secondary,monash
Government,Mullauna Secondary College,Secondary,whitehorse
Government,Leongatha Secondary College,Secondary,south gippsland
Government,Diamond Valley College,Secondary,nillumbik
Government,Blackburn English Language School,Language,whitehorse
Government,Collingwood English Language School,Language,yarra
Government,Noble Park English Language School,Language,greater dandenong
Government,Greensborough Secondary College,Secondary,banyule
Government,Ararat Secondary College,Secondary,ararat
Government,Mill Park Secondary College,Secondary,whittlesea
Government,Bacchus Marsh College,Secondary,moorabool
Government,The Grange P-12 College,Pri/Sec,wyndham
Government,Taylors Lakes Secondary College,Secondary,brimbank
Government,Sunshine College,Secondary,brimbank
Government,Wallan Secondary College,Secondary,mitchell
Government,Thornbury High School,Secondary,darebin
Government,Portland Secondary College,Secondary,glenelg
Government,Copperfield College,Secondary,brimbank
Government,Bayside P-12 College,Pri/Sec,hobsons bay
Government,South Oakleigh Secondary College,Secondary,monash
Government,Swan Hill College,Secondary,swan hill
Government,Traralgon College,Secondary,latrobe
Government,Mornington Secondary College,Secondary,mornington peninsula
Government,Essendon East Keilor District College,Secondary,moonee valley
Government,Brunswick Secondary College,Secondary,moreland
Government,Glen Waverley Secondary College,Secondary,monash
Government,Monterey Secondary College,Secondary,frankston
Government,Warrnambool College,Secondary,warrnambool
Government,Viewbank College,Secondary,banyule
Government,Noble Park Secondary College,Secondary,greater dandenong
Government,Baimbridge College,Pri/Sec,southern grampians
Government,Yarra Hills Secondary College,Secondary,yarra ranges
Government,Heathmont College,Secondary,maroondah
Government,Horsham College,Secondary,horsham
Government,Melbourne Girls College,Secondary,yarra
Government,Western Heights Secondary College,Secondary,greater geelong
Government,Lowanna College,Secondary,latrobe
Government,Templestowe College,Secondary,manningham
Government,Castlemaine Secondary College,Secondary,mount alexander
Government,Warragul Regional College,Secondary,baw baw
Government,Ballarat Secondary College,Secondary,ballarat
Government,Charlton College,Pri/Sec,buloke
Government,Wycheproof P-12 College,Pri/Sec,buloke
Government,Birchip P-12 School,Pri/Sec,buloke
Government,Nhill College,Pri/Sec,hindmarsh
Government,Sale College,Secondary,wellington
Government,McClelland Secondary College,Secondary,frankston
Government,Footscray City College,Secondary,maribyrnong
Government,The Alpine School,Camp,alpine
Government,Western English Language School,Language,maribyrnong
Government,Narre Warren South P-12 College,Pri/Sec,casey
Government,Lara Secondary College,Secondary,greater geelong
Government,Kaniva College,Pri/Sec,west wimmera
Government,Corryong College,Pri/Sec,towong
Government,Maryborough Education Centre,Pri/Sec,central goldfields
Government,The Lakes South Morang P-9 School,Pri/Sec,whittlesea
Government,Point Cook Senior Secondary College,Secondary,wyndham
Government,Manor Lakes P-12 College,Pri/Sec,wyndham
Government,Coburg Senior High School,Secondary,moreland
Government,Wodonga Middle Years College,Pri/Sec,wodonga
Government,Mount Ridley P-12 College,Pri/Sec,hume
Government,Tarneit Senior College,Secondary,wyndham
Government,Echuca College,Secondary,campaspe
Government,John Monash Science School,Secondary,monash
Government,Altona P-9 College,Pri/Sec,hobsons bay
Government,Dandenong High School,Secondary,greater dandenong
Government,Bass Coast Specialist School,Special,bass coast
Government,Laverton P-12 College,Pri/Sec,hobsons bay
Government,Hume Central Secondary College,Secondary,hume
Government,Colac Secondary College,Secondary,colac-otway
Government,Nossal High School,Secondary,casey
Government,Suzanne Cory High School,Secondary,wyndham
Government,Keysborough Secondary College,Secondary,greater dandenong
Government,Hallam Senior Secondary College,Secondary,casey
Government,Gleneagles Secondary College,Secondary,casey
Government,Fountain Gate Secondary College,Secondary,casey
Government,Balmoral K-12 Community College,Pri/Sec,southern grampians
Government,Myrtleford P-12 College,Pri/Sec,alpine
Government,Alkira Secondary College,Secondary,casey
Government,Somerville Secondary College,Secondary,mornington peninsula
Government,Payika College a Koorie Pathways School (interim name),Secondary,swan hill
Government,Boort District P-12 School,Pri/Sec,loddon
Government,Yarrawonga College P-12,Pri/Sec,moira
Government,Seymour College,Pri/Sec,mitchell
Government,Golden Square Primary School,Primary,greater bendigo
Government,Robinvale P-12 College,Pri/Sec,swan hill
Government,Merbein P-10 College,Pri/Sec,mildura
Government,Lightning Reef Primary School,Primary,greater bendigo
Government,Lalor Gardens Primary School,Primary,whittlesea
Government,Glenroy Central Primary School,Primary,moreland
Government,Chandler Park Primary School,Primary,greater dandenong
Government,Keysborough Primary School,Primary,greater dandenong
Government,Lyndale Greens Primary School,Primary,greater dandenong
Government,Athol Road Primary School,Primary,greater dandenong
Government,Springvale Rise Primary School (interim name),Primary,greater dandenong
Government,Spring Parks Primary School,Primary,greater dandenong
Government,Keilor Views Primary School,Primary,brimbank
Government,Wyndham Park Primary School,Primary,wyndham
Government,Whitehorse Primary School,Primary,whitehorse
Government,Phoenix P-12 Community College,Pri/Sec,ballarat
Government,Hazel Glen Primary School (interim name),Primary,whittlesea
Government,Auburn High School (interim name),Secondary,boroondara
Government,Benalla P-12 College,Pri/Sec,benalla
Government,Coolaroo South Primary School,Primary,hume
Independent,Edinburgh College (Secondary),Secondary,yarra ranges
Independent,Wesley College,Pri/Sec,melbourne
Catholic,Sacred Heart School,Primary,nillumbik
Catholic,St Mary of the Cross Catholic Primary School,Primary,wyndham
Catholic,St Thomas the Apostle Catholic Primary School,Primary,casey
Independent,Melbourne Grammar School,Pri/Sec,melbourne
Independent,Islamic College of Melbourne,Pri/Sec,wyndham
Government,Cranbourne East Secondary College,Secondary,casey
Independent,Cathedral College Wangaratta,Pri/Sec,wangaratta
Independent,Glenroy Private,Primary,moreland
Independent,Koonwarra Village School,Primary,south gippsland
Independent,Shepparton Adult & Community Education Inc,Secondary,greater shepparton
Government,Horsham Primary School,Primary,horsham
Independent,Australian Christian College Hume,Primary,benalla
Independent,Divrei Emineh,Primary,bayside
Government,Tarneit P-9 College,Pri/Sec,wyndham
Government,Albert Park College,Secondary,port phillip
Government,Charles La Trobe P-12 College,Pri/Sec,darebin
Independent,Korowa Anglican Girls' School,Pri/Sec,stonnington
Catholic,Parade College,Secondary,banyule
Catholic,Simonds Catholic College,Secondary,melbourne
Catholic,Christian Brothers' College St Kilda,Secondary,port phillip
Catholic,St Patrick's College Ballarat,Secondary,ballarat
Catholic,St Patrick's School,Primary,ballarat
Catholic,St Alipius' Parish School,Primary,ballarat
Catholic,Emmanuel College Inc.,Secondary,warrnambool
Catholic,Loreto College,Secondary,ballarat
Catholic,St Mary's School,Primary,mansfield
Catholic,Sacred Heart School,Primary,hobsons bay
Catholic,St Mary's School,Primary,hobsons bay
Independent,Ruyton Girls' School,Pri/Sec,boroondara
Independent,Caulfield Grammar School,Pri/Sec,glen eira
Catholic,St Michael's School,Primary,melbourne
Catholic,St Patrick's School,Primary,wangaratta
Catholic,Presentation College Windsor,Secondary,stonnington
Catholic,St Mary's School,Primary,port phillip
Catholic,Assumption College,Secondary,mitchell
Catholic,St Brendan's School,Primary,moonee valley
Catholic,Catholic College Bendigo,Secondary,greater bendigo
Independent,Highview Christian Community College,Secondary,central goldfields
Catholic,St Augustine's School,Primary,central goldfields
Catholic,St Mary's School,Primary,east gippsland
Catholic,St Aloysius' School,Primary,ballarat
Catholic,St Joseph's School,Primary,boroondara
Catholic,Sacre Coeur,Pri/Sec,stonnington
Catholic,St Joseph's School,Primary,darebin
Catholic,Sacred Heart School,Primary,darebin
Catholic,Sacred Heart School,Primary,latrobe
Catholic,St Michael's School,Primary,latrobe
Catholic,St Brendan's School,Primary,greater shepparton
Catholic,St Mary's College,Pri/Sec,mitchell
Catholic,St Mary's School,Primary,buloke
Catholic,St Mary's Primary School,Primary,wellington
Catholic,St Patrick's Primary School,Primary,mitchell
Catholic,St Brigid's School,Primary,moorabool
Catholic,St Patrick's School,Primary,moorabool
Catholic,St Michael's School,Primary,moorabool
Catholic,St Mary's School,Primary,macedon ranges
Catholic,St Augustine's School,Primary,hepburn
Independent,Tarrington Lutheran School,Primary,southern grampians
Catholic,St Monica's School,Primary,greater bendigo
Catholic,St Joseph's School,Primary,benalla
Catholic,St Brendan's Primary School,Primary,moorabool
Catholic,Sacred Heart College,Secondary,greater geelong
Catholic,St Patrick's School,Primary,northern grampians
Catholic,St Joseph's College Mildura,Secondary,mildura
Catholic,Star of the Sea College,Secondary,bayside
Catholic,St James' School,Primary,bayside
Catholic,St Peter's School,Primary,glen eira
Independent,Methodist Ladies' College,Pri/Sec,boroondara
Catholic,St Liborius' School,Primary,greater bendigo
Catholic,Damascus College,Secondary,ballarat
Independent,Ballarat Clarendon College,Pri/Sec,ballarat
Catholic,St Mary's School,Primary,mount alexander
Catholic,Sacred Heart College,Secondary,macedon ranges
Catholic,St Ambrose's School,Primary,macedon ranges
Catholic,St Joseph's School,Primary,buloke
Catholic,Sacred Heart School,Primary,greater shepparton
Independent,Christ Church Grammar School,Primary,melbourne
Catholic,St Paul's School,Primary,moreland
Catholic,St Andrew's School,Primary,wyndham
Catholic,St Brigid's School,Primary,macedon ranges
Catholic,Our Lady of Mount Carmel School,Primary,hume
Catholic,St Joseph's School,Primary,indigo
Catholic,St Mary's School,Primary,indigo
Catholic,St Mary's School,Primary,loddon
Catholic,FCJ College,Secondary,benalla
Independent,Fintona Girls' School,Pri/Sec,boroondara
Catholic,St Patrick's School,Primary,cardinia
Independent,Lauriston Girls' School,Pri/Sec,stonnington
Catholic,Sacred Heart Primary School,Primary,moira
Catholic,Xavier College,Pri/Sec,boroondara
Catholic,St Joseph's School,Primary,southern grampians
Catholic,Marian College,Secondary,ararat
Catholic,Sacred Heart School,Primary,glenelg
Catholic,St Bernard's School,Primary,moorabool
Catholic,St Patrick's School,Primary,moyne
Independent,Geelong Grammar School,Pri/Sec,greater geelong
Independent,Trinity Grammar School Kew,Pri/Sec,boroondara
Catholic,Academy of Mary Immaculate,Secondary,yarra
Catholic,Sacred Heart School,Primary,yarra
Catholic,Mount Lilydale Mercy College,Secondary,yarra ranges
Catholic,St Monica's School,Primary,maribyrnong
Catholic,St Augustine's School,Primary,maribyrnong
Catholic,St Michael & St John's School,Primary,horsham
Catholic,Trinity College Colac Inc,Secondary,colac-otway
Catholic,St Mary's School,Primary,colac-otway
Catholic,Kilbreda College,Secondary,kingston
Catholic,Padua College,Secondary,mornington peninsula
Independent,Melbourne Girls Grammar,Pri/Sec,melbourne
Independent,The Geelong College,Pri/Sec,greater geelong
Catholic,Notre Dame College,Secondary,greater shepparton
Catholic,Sacred Heart College,Secondary,moira
Catholic,St John's School,Primary,yarra
Catholic,St Joseph's School,Primary,moira
Catholic,St Joseph's School,Primary,warrnambool
Independent,Bayview College,Secondary,glenelg
Catholic,Saint Ignatius College Geelong,Secondary,greater geelong
Catholic,St Mary's School,Primary,greater geelong
Catholic,St Patrick's School,Primary,greater geelong
Independent,Presbyterian Ladies' College,Pri/Sec,whitehorse
Catholic,St Monica's Primary School,Primary,moonee valley
Catholic,St Patrick's School,Primary,yarra ranges
Catholic,Catholic Ladies' College Ltd,Secondary,nillumbik
Catholic,St Joseph's School,Primary,yarra
Catholic,St Mary's School,Primary,yarriambiack
Catholic,Sacred Heart School,Primary,boroondara
Catholic,St Mary's School,Primary,ararat
Catholic,St Joseph's College,Secondary,campaspe
Catholic,St Patrick's School,Primary,moyne
Catholic,St Joseph's School,Primary,campaspe
Catholic,St Aloysius College,Secondary,melbourne
Catholic,All Saints Parish School,Primary,glenelg
Catholic,Catholic College Sale,Secondary,wellington
Catholic,St Augustine's College,Pri/Sec,campaspe
Catholic,Our Holy Redeemer School,Primary,boroondara
Catholic,Our Lady of the Sacred Heart Primary,Primary,greater bendigo
Catholic,St Joseph's School,Primary,indigo
Catholic,St Joseph's School,Primary,southern grampians
Catholic,Mercy Regional College,Secondary,corangamite
Catholic,St Patrick's School,Primary,corangamite
Catholic,St Columba's College,Secondary,moonee valley
Catholic,St Michael's School,Primary,hepburn
Catholic,St Mary's School,Primary,southern grampians
Catholic,St Kilian's School,Primary,greater bendigo
Catholic,Genazzano FCJ College,Pri/Sec,boroondara
Catholic,St Augustine's School,Primary,wodonga
Catholic,St Patrick's School,Primary,northern grampians
Independent,St Michael's Grammar School,Pri/Sec,port phillip
Catholic,St Patrick's School,Primary,kingston
Catholic,St Thomas' School,Primary,corangamite
Catholic,St Joseph's School,Primary,baw baw
Catholic,St Joseph's School,Primary,greater bendigo
Independent,Firbank Grammar School,Pri/Sec,bayside
Catholic,St John's School,Primary,banyule
Catholic,Our Lady of Mercy College,Secondary,banyule
Catholic,St Joseph's School,Primary,moreland
Catholic,St Brigid's School,Primary,kingston
Catholic,St Columba's School,Primary,ballarat
Independent,Ballarat Grammar,Pri/Sec,ballarat
Catholic,Our Lady Help of Christians School,Primary,moreland
Catholic,St Anthony's School,Primary,glen eira
Catholic,St Mary's School,Primary,greater dandenong
Catholic,Sacred Heart School,Primary,bayside
Catholic,St Joseph's School,Primary,bass coast
Catholic,St Mary's School,Primary,moonee valley
Catholic,St Joseph's School,Primary,gannawarra
Catholic,De La Salle College,Pri/Sec,stonnington
Catholic,St Margaret Mary's School,Primary,moreland
Independent,The Hamilton and Alexandra College,Pri/Sec,southern grampians
Catholic,St Francis Xavier School,Primary,ballarat
Catholic,St Laurence O'Toole School,Primary,south gippsland
Catholic,St Joseph's School,Primary,south gippsland
Independent,Westbourne Grammar School,Primary,hobsons bay
Independent,Ivanhoe Grammar School,Pri/Sec,banyule
Catholic,St Brigid's School,Primary,yarra ranges
Catholic,St James School,Primary,cardinia
Independent,Scotch College,Pri/Sec,boroondara
Catholic,St Mary's School,Primary,stonnington
Independent,St Leonard's College,Pri/Sec,bayside
Catholic,Holy Rosary School,Primary,melbourne
Catholic,St Aloysius' School,Primary,queenscliffe
Catholic,St Anthony's School,Primary,darebin
Catholic,St Joseph's School,Primary,stonnington
Catholic,St Mary's School,Primary,wellington
Catholic,Holy Rosary School,Primary,greater bendigo
Catholic,St Columba's School,Primary,port phillip
Catholic,Our Lady of the Rosary,Primary,macedon ranges
Independent,Tintern Schools,Pri/Sec,maroondah
Catholic,St Mary's School,Primary,swan hill
Independent,Toorak College,Pri/Sec,mornington peninsula
Catholic,St Mary's School,Primary,mornington peninsula
Catholic,St Brendan's School,Primary,colac-otway
Catholic,Our Lady of the Immaculate Conception School,Primary,brimbank
Catholic,St Mary's School,Primary,darebin
Catholic,St John's School,Primary,warrnambool
Independent,St Catherine's School,Pri/Sec,stonnington
Independent,Lowther Hall Anglican Grammar School,Pri/Sec,moonee valley
Catholic,St Brigid's College,Secondary,horsham
Catholic,St Aloysius' School,Primary,glen eira
Catholic,St Joan of Arc School,Primary,bayside
Catholic,St John's School,Primary,strathbogie
Independent,Penleigh & Essendon Grammar School,Pri/Sec,moonee valley
Catholic,St John's School,Primary,maribyrnong
Catholic,St Joseph's School,Primary,moira
Independent,Shelford Girls' Grammar,Pri/Sec,glen eira
Catholic,Mary Immaculate School,Primary,banyule
Catholic,St Joseph's School,Primary,strathbogie
Catholic,Our Lady of Lourdes School,Primary,stonnington
Catholic,St Joseph's School,Primary,east gippsland
Independent,Mentone Grammar School,Pri/Sec,kingston
Independent,Ivanhoe Girls' Grammar School,Pri/Sec,banyule
Catholic,St Mary's School,Primary,alpine
Independent,Carey Baptist Grammar School,Pri/Sec,boroondara
Independent,Kilvington Grammar School,Pri/Sec,glen eira
Independent,Haileybury College,Pri/Sec,greater dandenong
Catholic,St Therese's School,Primary,moonee valley
Catholic,Sacred Heart School,Primary,murrindindi
Catholic,Our Lady of Good Counsel School,Primary,boroondara
Independent,Strathcona Baptist Girls' Grammar,Pri/Sec,boroondara
Catholic,St Kevin's School,Primary,glen eira
Independent,Mentone Girls' Grammar School,Pri/Sec,kingston
Catholic,St Joseph's School,Primary,kingston
Independent,Gippsland Grammar,Pri/Sec,wellington
Catholic,St Finbar's School,Primary,bayside
Catholic,Loreto Mandeville Hall,Pri/Sec,stonnington
Catholic,St Dominic's School,Primary,boroondara
Catholic,St Mary's School,Primary,bayside
Catholic,Holy Rosary School,Primary,greater bendigo
Catholic,St Mary's School,Primary,gannawarra
Independent,Camberwell Grammar School,Pri/Sec,boroondara
Catholic,St Joseph's School,Primary,mornington peninsula
Independent,Brighton Grammar School,Pri/Sec,bayside
Catholic,St Fidelis' School,Primary,moreland
Independent,Huntingtower School,Pri/Sec,monash
Catholic,St Francis Xavier's School,Primary,whitehorse
Catholic,St Mary's School,Primary,hobsons bay
Catholic,Our Lady Help of Christians School,Primary,nillumbik
Catholic,Our Lady of the Sacred Heart School,Primary,mildura
Catholic,St Francis Xavier School,Primary,frankston
Catholic,Our Lady of Sion College,Secondary,whitehorse
Catholic,St Gabriel's School,Primary,darebin
Catholic,St Paul's School,Primary,glen eira
Catholic,St Joseph's School,Primary,bayside
Catholic,Salesian College,Secondary,hume
Catholic,St Patrick's School,Primary,wellington
Independent,Kingswood College,Pri/Sec,whitehorse
Catholic,St Joseph's School,Primary,baw baw
Catholic,St Patrick's School,Primary,glen eira
Catholic,St Roch's School,Primary,stonnington
Catholic,Holy Eucharist School,Primary,stonnington
Independent,St Margaret's School,Pri/Sec,casey
Independent,Camberwell Girls Grammar School,Pri/Sec,boroondara
Catholic,St Anne's School,Primary,boroondara
Catholic,Our Lady of Perpetual Help School,Primary,maroondah
Catholic,St Francis Xavier's School,Primary,banyule
Catholic,St Joseph's School,Primary,mornington peninsula
Catholic,St Cecilia's School,Primary,boroondara
Catholic,St Joseph's School,Primary,glen eira
Catholic,St Joseph's School,Primary,mildura
Independent,"Preshil, The Margaret Lyttle Memorial School",Pri/Sec,boroondara
Catholic,St Peter's School,Primary,whittlesea
Catholic,Santa Maria College,Secondary,darebin
Catholic,Sacred Heart School,Primary,monash
Catholic,St Mark's School,Primary,moreland
Catholic,St John the Baptist School,Primary,knox
Catholic,St John's School,Primary,whitehorse
Catholic,St Mary's School,Primary,greater shepparton
Catholic,St Raphael's School,Primary,darebin
Catholic,St Kevin's College,Pri/Sec,stonnington
Catholic,St John the Baptist's School,Primary,cardinia
Catholic,St Vincent de Paul's School,Primary,moonee valley
Catholic,St Joseph's College Newtown,Secondary,greater geelong
Catholic,St Joseph's School,Primary,greater dandenong
Catholic,St Bede's College,Secondary,kingston
Catholic,Holy Name School,Primary,darebin
Independent,Taylors Senior College,Secondary,melbourne
Catholic,Siena College Ltd,Secondary,boroondara
Catholic,St Bernard's School,Primary,moreland
Catholic,St Benedict's School,Primary,whitehorse
Catholic,St Oliver Plunkett's School,Primary,moreland
Catholic,Corpus Christi School,Primary,maribyrnong
Catholic,St Robert's School,Primary,greater geelong
Catholic,St Bernard's College,Secondary,moonee valley
Catholic,Whitefriars College Inc,Secondary,manningham
Catholic,St Michael's School,Primary,boroondara
Catholic,St Mary's School,Primary,moorabool
Catholic,Our Lady of the Sacred Heart College,Secondary,glen eira
Catholic,St Bede's School,Primary,boroondara
Catholic,Salesian College,Secondary,monash
Catholic,St Patrick's School,Primary,hindmarsh
Catholic,St Margaret's School,Primary,greater geelong
Independent,Mount Scopus Memorial College,Pri/Sec,whitehorse
